,A,B,C
0,2,4,2
1,2,2,1
2,4,1,1
3,3,4,0
4,4,3,1
5,3,1,2
6,2,6,1
7,3,2,0
8,4,3,2
9,0,7,0
10,3,5,0
11,1,5,0
12,1,7,1
13,3,2,1
14,1,4,2
15,2,1,1
16,1,3,3
17,1,4,0
18,3,8,1
19,1,2,1
20,0,1,0
21,1,7,0
22,3,6,1
23,3,4,1
24,2,5,1
25,3,4,2
26,2,2,0
27,1,3,0
28,1,4,1
29,2,2,1
30,2,3,1
31,2,5,0
32,2,8,1
33,1,4,1
34,1,2,0
35,3,6,0
36,1,5,2
37,2,2,0
38,2,5,0
39,2,2,0
40,2,5,0
41,1,6,0
42,1,6,0
43,2,2,0
44,0,7,1
45,1,2,2
46,0,5,1
47,2,4,2
48,2,8,0
49,0,6,3
50,1,5,0
51,1,5,1
52,2,10,1
53,3,5,0
54,2,4,2
55,5,6,1
56,0,2,1
57,2,5,2
58,0,3,0
59,1,2,2
60,2,2,2
61,2,4,3
62,1,6,0
63,1,5,0
64,0,9,0
65,1,6,0
66,1,5,1
67,1,6,0
68,0,2,0
69,1,0,1
70,3,5,0
71,1,8,2
72,0,4,2
73,0,6,0
74,1,3,1
75,0,4,0
76,2,3,0
77,4,7,1
78,2,1,2
79,1,3,1
80,0,3,0
81,1,5,2
82,3,4,2
83,1,3,3
84,3,3,1
85,3,2,1
86,1,4,1
87,1,3,0
88,2,1,1
89,2,4,1
90,0,10,1
91,1,2,1
92,3,1,3
93,2,3,1
94,5,4,0
95,2,4,3
96,1,5,1
97,3,9,1
98,1,9,1
99,0,3,1
100,3,5,1
101,0,6,1
102,2,5,0
103,4,3,0
104,1,5,2
105,3,1,0
106,3,5,1
107,2,4,2
108,3,8,1
109,3,6,0
110,0,7,2
111,2,4,0
112,3,3,0
113,2,5,2
114,3,4,2
115,2,4,1
116,4,3,0
117,2,5,2
118,1,4,0
119,1,5,0
120,3,4,1
121,4,3,2
122,0,2,0
123,1,3,1
124,2,6,0
125,0,2,1
126,1,8,4
127,4,2,1
128,0,8,0
129,3,6,1
130,0,3,0
131,1,7,1
132,1,3,0
133,2,3,1
134,2,1,2
135,4,6,3
136,2,3,1
137,2,11,1
138,1,3,1
139,2,6,1
140,4,3,1
141,3,10,2
142,6,2,1
143,2,7,3
144,4,3,1
145,0,5,1
146,3,4,2
147,0,5,2
148,1,5,0
149,1,3,1
150,1,2,0
151,3,5,4
152,3,6,1
153,2,3,0
154,0,7,1
155,2,7,2
156,2,4,0
157,1,5,0
158,1,5,1
159,1,3,1
160,2,1,0
161,2,5,1
162,2,3,1
163,0,4,2
164,1,5,0
165,1,3,2
166,2,5,0
167,0,3,1
168,2,2,0
169,1,6,2
170,1,3,2
171,3,6,5
172,0,11,2
173,2,6,1
174,3,5,1
175,1,2,1
176,1,3,1
177,3,12,0
178,2,2,0
179,2,5,0
180,3,6,0
181,0,4,0
182,3,5,0
183,1,7,0
184,2,1,1
185,0,4,1
186,0,6,2
187,3,6,1
188,3,4,0
189,1,6,0
190,1,4,3
191,1,1,0
192,2,3,0
193,1,4,1
194,0,7,0
195,2,5,2
196,1,4,0
197,0,6,0
198,1,3,2
199,4,8,4
200,3,2,0
201,1,7,2
202,1,3,0
203,0,4,0
204,0,5,1
205,0,4,2
206,2,6,2
207,1,4,0
208,2,6,0
209,3,1,0
210,3,5,2
211,1,2,4
212,2,3,1
213,0,5,2
214,3,5,2
215,1,2,1
216,0,4,0
217,5,3,0
218,0,5,2
219,2,4,2
220,1,3,1
221,1,5,2
222,1,5,1
223,0,3,2
224,2,9,0
225,2,2,1
226,1,6,0
227,0,5,1
228,1,7,2
229,1,2,0
230,3,8,1
231,3,7,0
232,1,3,0
233,2,6,0
234,1,3,0
235,0,6,1
236,1,6,0
237,5,5,0
238,2,3,3
239,2,4,1
240,4,3,1
241,0,2,0
242,0,4,2
243,1,1,1
244,3,5,0
245,2,8,0
246,0,5,2
247,2,2,0
248,4,9,1
249,1,5,0
250,0,2,1
251,1,1,2
252,2,3,1
253,3,1,0
254,2,4,2
255,1,3,2
256,1,1,2
257,3,1,2
258,4,5,1
259,3,2,0
260,1,4,2
261,0,2,1
262,5,5,0
263,1,5,1
264,2,4,0
265,1,4,2
266,1,6,0
267,1,6,1
268,1,2,0
269,1,0,1
270,1,5,2
